6081949,27235,108475680,1
6081949,27746,76065458,2
6081949,18945,55304049,3
6281949,15118,149311909,1
6281949,11397,124293438,2
6281949,25814,104428054,3
6301949,2429,109171121,1
6301949,26825,95374030,2
6301949,10932,74016744,3
6411949,662,75162566,1
6411949,21030,49933641,2
6411949,16769,49383506,3
6412149,22585,200516731,1
6412149,14472,138262790,2
6412149,25147,70594902,3
6481949,12026,51161825,1
6481949,670,49626204,2
6481949,14877,34488733,3
6581949,9494,38854436,1
6581949,26876,23449539,2
6581949,21761,21136440,3
