20140901,286724349,301312857
20140902,273757046,289312134
20140903,262649261,279232117
20140904,252716229,270362950
20140905,243388881,262107808
20140906,234184023,253952513
20140907,224691093,245452428
20140908,260706319,283168628
20140909,250616507,274010454
20140910,241884362,266299884
20140911,233952886,259439869
20140912,226343119,252909187
20140913,218636611,246244146
20140914,210470174,239033612
20140915,247275983,277630853
20140916,238196514,269402200
20140917,230213149,262378064
20140918,222828010,256005982
20140919,215607863,249796651
20140920,208172191,243311248
20140921,200191631,236160469
20140922,236509953,274235190
20140923,227353141,265741597
20140924,219132727,258303141
20140925,211387621,251390567
20140926,203719717,244537741
20140927,195784741,237331889
20140928,187292055,229414362
20140929,222246394,265909436
20140930,212374558,256383115
